Keyword,Category,Est Monthly Search Volume,Competition,Search Intent,Relevance,Intent,Rankability,Traffic Potential,Conversion Potential,Total Score,Tier,Recommendation
danish dough whisk bread lame set,Primary,8100,Medium,Commercial Investigation,High,High,Medium,High,High,92,Tier 1,"Target as primary keyword. Include in title, first bullet, and H1. Direct match to product."
sourdough tools for beginners,Primary,6600,Medium,Informational/Commercial,High,High,Medium,High,High,90,Tier 1,"High volume + high intent. Use in description and A+ content. Great for blog content."
bread making tools set,Primary,5400,High,Commercial,High,High,Low-Medium,High,High,85,Tier 1,"Broad but highly relevant. Use in backend keywords and description."
sourdough bread kit,Primary,4400,High,Commercial Investigation,High,High,Medium,High,High,88,Tier 1,"Core category keyword. Include in title variation and bullets."
danish dough whisk set,Primary,3600,Medium,Commercial,High,High,High,High,High,91,Tier 1,"Direct product match. High rankability. Essential for title."
bread scoring tool,Secondary,2900,Medium,Commercial,High,High,High,Medium,High,82,Tier 2,"Use in bullets and description. Target for bread lame specifically."
sourdough baking supplies,Secondary,2400,Medium,Commercial,High,High,Medium,High,High,80,Tier 2,"Category keyword. Use in A+ content and backend keywords."
bread lame with blades,Secondary,1900,Low,Commercial,High,High,High,Medium,High,85,Tier 2,"Long-tail with low competition. Easy to rank. Include in bullets."
dough whisk and lame combo,Secondary,1600,Low,Commercial,High,High,High,Medium,High,87,Tier 2,"Direct bundle description. Low competition = quick win. Use in title or first bullet."
sourdough starter kit tools,Secondary,3200,High,Commercial Investigation,Medium,High,Low,Medium,Medium,68,Tier 2,"Broader intent — some searchers want starter culture too. Use in A+ content."
bread baking gift set,Secondary,2100,Medium,Commercial/Gift,Medium,High,Medium,Medium,High,78,Tier 2,"Gift persona keyword. Use in gift angle copy and seasonal campaigns."
danish whisk for sourdough,Secondary,1800,Low,Informational/Commercial,High,High,High,Medium,High,86,Tier 2,"Long-tail, low competition. Use in description and blog content."
bread making supplies,Secondary,1400,Medium,Commercial,Medium,High,Medium,Medium,Medium,72,Tier 3,"Broad category. Use in backend keywords."
sourdough bread making tools,Secondary,1200,Medium,Commercial,High,High,Medium,Medium,High,79,Tier 2,"Descriptive long-tail. Use in bullets and A+ content."
artisan bread tools,Secondary,990,Low,Commercial,Medium,High,High,Medium,High,80,Tier 2,"Niche but relevant. Good for blog content and alt text."
bread dough whisk set,Secondary,880,Low,Commercial,High,High,High,Medium,High,83,Tier 2,"Variant of primary keyword. Use in backend and description."
sourdough bread lame,Secondary,1300,Low,Commercial,High,High,High,Medium,High,84,Tier 2,"Component-specific keyword. Use in bullets for lame description."
gift for bread baker,Secondary,2400,Medium,Gift/Informational,Medium,High,Medium,Medium,High,76,Tier 2,"Gift persona. Use in seasonal marketing and gift angle copy."
sourdough bread making kit,Secondary,1600,Medium,Commercial,High,High,Medium,Medium,High,77,Tier 2,"Kit-focused keyword. Use in title variation and A+ content."
danish dough mixer,Long-tail,720,Low,Informational/Commercial,Medium,Medium,High,Low,Medium,65,Tier 3,"Alternative term. Include in backend keywords."
bread scoring knife,Long-tail,590,Low,Commercial,High,High,High,Low,High,74,Tier 3,"Component keyword. Use in lame description bullets."
sourdough bread tools set,Long-tail,480,Low,Commercial,High,High,High,Low,High,78,Tier 3,"Long-tail with low competition. Use in A+ content."
homemade bread tools,Long-tail,390,Low,Informational,Medium,Medium,High,Low,Medium,58,Tier 3,"Broad long-tail. Use in blog content."
bread making kit for beginners,Long-tail,720,Medium,Commercial,High,High,Medium,Medium,High,75,Tier 3,"Beginner persona keyword. Use in description and guides."
sourdough bread lame and whisk,Long-tail,320,Low,Commercial,High,High,High,Low,High,82,Tier 3,"Exact bundle description. Use in title and first bullet."
sourdough baking tools set,Long-tail,540,Low,Commercial,High,High,High,Low,High,80,Tier 3,"Descriptive long-tail. Use in A+ content."
bread lame with wooden handle,Long-tail,260,Low,Commercial,Medium,High,High,Low,High,68,Tier 3,"Feature-specific. Use in bullets describing the lame."
danish bread whisk,Long-tail,390,Low,Informational/Commercial,High,High,High,Low,Medium,70,Tier 3,"Short-form variant. Use in backend keywords."
bread baking tools and supplies,Long-tail,440,Medium,Commercial,Medium,High,Medium,Low,Medium,62,Tier 3,"Broad long-tail. Use in category/backend keywords."
sourdough bread baking kit,Long-tail,660,Medium,Commercial,High,High,Medium,Low,High,73,Tier 3,"Kit keyword. Use in A+ content and blog."
starter kit bread baking,Long-tail,320,Low,Commercial,Medium,High,High,Low,High,70,Tier 3,"Beginner-focused. Use in beginner angle copy."
sourdough bread tools,Long-tail,210,Low,Commercial,High,High,High,Low,High,76,Tier 3,"Short long-tail. Use in backend and description."
