Keyword,Category,Est Monthly Search Volume,Competition,Search Intent,Relevance (1-10),Intent (1-10),Rankability (1-10),Traffic Potential (1-10),Conversion Potential (1-10),Total Score (/70),Tier,Recommendation
danish dough whisk,Primary,22000,High,Shopping,10,10,6,10,10,46,Tier 2,"High volume but very competitive. Target with long-tail variations."
danish dough whisk for sourdough,Primary,8500,Medium,Shopping,10,10,7,9,10,46,Tier 1,"TOP PRIORITY. High intent + moderate competition. Use in title tag and H1."
13 inch dough whisk,Primary,4200,Medium,Shopping,10,9,7,8,9,43,Tier 1,"Strong product-specific keyword. Include in product description."
wooden handle dough whisk,Primary,3800,Medium,Shopping,10,9,7,8,9,43,Tier 1,"Matches product exactly. Use in bullet points and meta description."
swedish dough whisk,Secondary,2400,Low,Informational,9,8,8,7,8,40,Tier 1,"Low competition. BIG opportunity for Harry Corner. Target with blog content."
sourdough bread whisk,Primary,5200,Medium,Shopping,10,10,7,8,10,45,Tier 1,"High conversion intent. Include in product title and alt text."
best danish dough whisk,Primary,3600,High,Commercial,9,9,5,8,9,40,Tier 2,"Competitive but valuable. Target with comparison content."
dough whisk for sourdough bread,Primary,2800,Medium,Shopping,10,10,8,8,10,46,Tier 1,"Exact match product use case. Use in H2 and description."
swedish dough whisk tool,Long-tail,1100,Low,Shopping,10,9,9,7,10,45,Tier 1,"EXACT product name match. Very low competition. Use as primary keyword."
danish dough whisk vs dutch whisk,Long-tail,800,Low,Informational,9,7,9,6,8,39,Tier 1,"Comparison keyword. Create dedicated blog post to capture this traffic."
danish dough whisk bread,Primary,3100,Medium,Shopping,10,9,7,8,9,43,Tier 2,"Solid secondary keyword. Include in product description."
bread dough whisk wooden handle,Long-tail,1800,Low,Shopping,10,9,9,7,10,45,Tier 1,"Low competition with strong intent. Use in product title variant."
heavy dough baking whisk,Long-tail,900,Low,Shopping,9,8,9,6,9,41,Tier 2,"Unique differentiator. Use in bullet points emphasizing sturdiness."
artisan bread whisk,Secondary,1600,Low,Informational,8,7,8,7,7,37,Tier 2,"Good for blog content targeting artisan bakers."
sourdough tools and supplies,Secondary,6200,Medium,Shopping,8,9,6,8,9,40,Tier 2,"Broader category keyword. Include in collections/category pages."
bread whisk stainless steel,Primary,2200,Medium,Shopping,9,9,7,7,9,41,Tier 2,"Material-focused search. Include in product specs."
dough whisk for pizza dough,Long-tail,1400,Low,Shopping,8,8,8,7,8,39,Tier 2,"Versatility keyword. Mention in product description."
wooden handle bread whisk,Long-tail,1900,Low,Shopping,10,9,8,7,10,44,Tier 1,"Low competition. Strong match. Use in meta description."
danish dough whisk gift,Long-tail,700,Low,Commercial,8,8,9,5,9,39,Tier 2,"Gift positioning. Target Nov-Dec with gift guide content."
sourdough bread making tools,Secondary,3200,Medium,Informational,8,8,7,7,8,38,Tier 2,"Category-level keyword for blog and collection pages."
dutch bread whisk,Secondary,1800,Medium,Shopping,8,8,7,7,8,38,Tier 2,"Alternative name. Include in product description for semantic coverage."
dough whisk set,Secondary,2400,Medium,Shopping,7,8,6,7,8,36,Tier 3,"Bundle opportunity. If Harry Corner offers a set later."
sourdough starter tools,Long-tail,1200,Low,Informational,7,7,8,6,7,35,Tier 3,"Broader content play for sourdough niche."
bread whisk review,Long-tail,600,Low,Informational,7,7,9,5,7,35,Tier 3,"Create review/comparison content to capture research-phase traffic."
hand dough mixer wooden,Long-tail,800,Low,Shopping,8,8,8,6,8,38,Tier 2,"Alternative search term. Include in backend keywords."
baking whisk for thick dough,Long-tail,700,Low,Shopping,9,8,9,6,9,41,Tier 1,"Emphasizes sturdiness differentiator. Use in bullet points."
danish dough hook,Secondary,1600,Medium,Shopping,8,8,7,7,8,38,Tier 2,"Alternative product name. Include in keyword metadata."
kneading dough tool,Secondary,4500,High,Informational,7,7,5,7,7,33,Tier 3,"Broad term. Blog content opportunity but high competition."
no knead bread tools,Long-tail,1100,Low,Informational,8,8,8,6,8,38,Tier 2,"Targets no-knead bread community. Blog post opportunity."
artisan sourdough tools,Long-tail,900,Low,Informational,8,7,8,6,7,36,Tier 2,"Niche authority keyword. Include in content strategy."
